order_id,amount,profit,quantity,category,sub_category,paymentMode
B-25952,14,0,4,Clothing,Hankerchief,UPI
B-25903,19,8,2,Clothing,Hankerchief,Debit Card
B-25650,512,-225,5,Clothing,Saree,COD
B-25970,742,198,2,Furniture,Bookcases,COD
B-26062,44,-40,3,Clothing,Stole,COD
B-25632,19,-2,2,Clothing,Leggings,Debit Card
B-25821,17,0,1,Clothing,Hankerchief,COD
B-25878,741,267,5,Furniture,Bookcases,COD
B-25750,19,-1,1,Clothing,Shirt,Debit Card
B-25657,1021,-48,4,Electronics,Electronic Games,EMI
B-25787,556,-209,7,Clothing,Saree,COD
B-25808,63,-17,6,Clothing,Leggings,COD
B-25885,734,248,2,Furniture,Chairs,COD
B-25759,20,-9,6,Clothing,Hankerchief,Debit Card
B-25747,877,395,2,Furniture,Bookcases,Credit Card
B-25603,12,1,2,Clothing,Hankerchief,COD
B-25691,714,56,4,Clothing,Saree,COD
B-25607,50,-15,4,Clothing,Leggings,COD
B-25708,709,-100,5,Electronics,Phones,COD
B-26021,21,-12,3,Clothing,Hankerchief,Debit Card
B-25831,693,254,6,Clothing,Saree,COD
B-25670,24,1,2,Clothing,Hankerchief,UPI
B-26029,21,10,1,Clothing,T-shirt,Debit Card
B-25959,681,259,4,Furniture,Chairs,COD
B-25676,674,-187,2,Furniture,Tables,COD
B-25888,646,-213,3,Electronics,Electronic Games,COD
B-25911,40,15,1,Clothing,Kurti,COD
B-25662,24,-2,2,Clothing,T-shirt,COD
B-25847,643,225,2,Electronics,Printers,COD
B-25796,632,-316,6,Clothing,Saree,COD
B-25993,610,208,3,Electronics,Printers,COD
B-25930,595,119,4,Furniture,Bookcases,COD
B-25785,595,292,3,Clothing,Saree,COD
B-26053,594,89,3,Furniture,Bookcases,COD
B-26019,585,175,13,Clothing,T-shirt,COD
B-26070,582,262,5,Furniture,Furnishings,COD
B-25870,845,84,7,Clothing,Saree,Credit Card
B-25855,829,19,4,Electronics,Printers,Credit Card
B-25803,765,8,6,Clothing,Saree,EMI
B-25996,31,2,2,Clothing,Hankerchief,COD
B-26078,557,-111,2,Electronics,Electronic Games,COD
B-25682,545,-73,11,Electronics,Phones,COD
B-25749,1052,-82,3,Furniture,Bookcases,UPI
B-25962,544,-152,3,Furniture,Bookcases,COD
B-25899,22,9,2,Clothing,Leggings,Debit Card
B-25951,742,198,2,Furniture,Bookcases,Credit Card
B-25828,537,107,3,Clothing,Saree,COD
B-25658,27,9,2,Clothing,T-shirt,UPI
B-25698,516,392,8,Furniture,Chairs,COD
B-25832,504,116,3,Furniture,Bookcases,COD
B-25886,502,84,4,Electronics,Phones,COD
B-25897,734,213,6,Electronics,Electronic Games,Credit Card
B-25873,42,12,2,Clothing,Kurti,COD
B-25858,29,11,4,Clothing,Skirt,COD
B-25867,240,12,6,Clothing,Kurti,UPI
B-25633,496,-79,2,Clothing,Trousers,COD
B-25609,485,29,4,Electronics,Electronic Games,COD
B-25896,31,-11,3,Clothing,Skirt,UPI
B-26000,676,151,3,Electronics,Printers,Credit Card
B-25940,13,3,2,Clothing,Hankerchief,COD
B-26087,180,0,8,Clothing,Stole,COD
B-25980,22,11,3,Clothing,Kurti,COD
B-25877,24,8,2,Clothing,Skirt,Debit Card
B-25905,152,50,6,Clothing,Stole,UPI
B-25818,32,11,2,Clothing,Leggings,UPI
B-25835,52,11,5,Clothing,Leggings,COD
B-26081,24,11,3,Clothing,Hankerchief,Debit Card
B-25837,263,50,5,Clothing,Stole,COD
B-25893,61,11,3,Clothing,Kurti,COD
B-25689,469,-459,3,Electronics,Electronic Games,COD
B-26028,1272,547,2,Electronics,Phones,COD
B-25654,450,-90,3,Electronics,Printers,COD
B-25720,30,-35,1,Furniture,Chairs,COD
B-26057,659,-37,2,Furniture,Bookcases,Credit Card
B-25798,448,148,2,Electronics,Printers,COD
B-25961,446,53,3,Electronics,Printers,COD
B-25701,98,-45,2,Furniture,Chairs,UPI
B-26056,424,161,2,Clothing,Saree,COD
B-26016,202,4,4,Clothing,Hankerchief,COD
B-25819,417,49,3,Electronics,Electronic Games,COD
B-25848,648,50,6,Electronics,Electronic Games,Credit Card
B-25678,27,-25,2,Clothing,Shirt,Debit Card
B-25925,27,12,1,Clothing,Stole,Debit Card
B-25977,27,1,1,Clothing,Stole,UPI
B-25648,30,13,1,Clothing,T-shirt,UPI
B-25933,412,412,6,Clothing,Saree,COD
B-25942,646,-23,2,Electronics,Printers,Credit Card
B-25673,143,-124,5,Clothing,Saree,UPI
B-25791,565,66,7,Clothing,Saree,Credit Card
B-25983,561,118,5,Furniture,Bookcases,Credit Card
B-25743,503,-56,2,Clothing,Trousers,COD
B-25973,398,111,8,Clothing,Hankerchief,COD
B-25895,388,93,2,Furniture,Bookcases,COD
B-25717,561,212,3,Clothing,Saree,Credit Card
B-26064,61,3,4,Clothing,Hankerchief,COD
B-25630,34,-22,4,Clothing,T-shirt,COD
B-26050,32,6,3,Clothing,Shirt,UPI
B-26035,520,151,3,Electronics,Phones,Credit Card
B-25966,510,234,6,Electronics,Electronic Games,EMI
B-26060,382,68,3,Clothing,Saree,COD
B-25854,381,144,2,Clothing,Saree,COD
B-25964,346,108,3,Furniture,Chairs,COD
B-25628,35,-8,2,Furniture,Furnishings,Debit Card
B-25891,121,41,4,Clothing,Stole,UPI
B-26089,27,4,1,Clothing,Hankerchief,COD
B-25621,333,-15,3,Electronics,Phones,COD
B-25727,327,114,4,Clothing,Trousers,COD
B-25843,18,6,3,Clothing,Hankerchief,UPI
B-25741,482,-6,7,Electronics,Electronic Games,EMI
B-26096,451,25,3,Electronics,Phones,EMI
B-26007,311,72,2,Furniture,Bookcases,COD
B-26088,11,5,2,Clothing,Hankerchief,UPI
B-25664,444,-200,4,Electronics,Phones,EMI
B-25642,434,26,11,Clothing,Shirt,Credit Card
B-25987,299,0,6,Clothing,Stole,COD
B-25770,299,113,2,Furniture,Bookcases,COD
B-25840,298,74,2,Furniture,Bookcases,COD
B-25846,94,7,7,Clothing,Leggings,UPI
B-25745,296,225,11,Clothing,Saree,COD
B-26073,37,17,3,Clothing,Hankerchief,Debit Card
B-26030,291,93,2,Electronics,Printers,COD
B-25989,42,15,1,Electronics,Accessories,UPI
B-26009,285,128,2,Electronics,Printers,COD
B-25915,277,3,1,Electronics,Electronic Games,COD
B-25645,273,-87,4,Electronics,Phones,COD
B-25635,40,16,3,Clothing,Hankerchief,Debit Card
B-26038,41,19,2,Clothing,T-shirt,Debit Card
B-26014,406,97,7,Furniture,Chairs,Credit Card
B-25751,32,7,3,Clothing,Hankerchief,COD
B-26025,41,19,5,Clothing,Hankerchief,Debit Card
B-25981,867,251,5,Electronics,Phones,COD
B-25610,43,0,3,Clothing,Saree,Debit Card
B-25733,43,-43,7,Clothing,Stole,Debit Card
B-25612,259,-55,2,Furniture,Chairs,COD
B-25700,44,-32,3,Clothing,Stole,Debit Card
B-25856,257,3,2,Clothing,Saree,COD
B-26026,255,76,9,Clothing,Hankerchief,COD
B-25861,44,14,3,Clothing,Hankerchief,Debit Card
B-25799,45,-15,2,Furniture,Chairs,COD
B-26054,246,98,5,Clothing,Hankerchief,COD
B-25660,245,-78,3,Clothing,Saree,COD
B-26045,376,0,7,Clothing,Stole,Credit Card
B-25781,45,-28,2,Clothing,Stole,Debit Card
B-25918,244,-122,5,Furniture,Furnishings,COD
B-25971,244,83,2,Furniture,Bookcases,COD
B-25699,49,-31,2,Clothing,Stole,UPI
B-25776,47,-20,2,Clothing,Kurti,Debit Card
B-25985,32,8,5,Clothing,Hankerchief,UPI
B-26063,241,-77,4,Electronics,Electronic Games,COD
B-26032,47,15,5,Clothing,Saree,Debit Card
B-25767,299,-28,3,Electronics,Electronic Games,UPI
B-26023,66,22,3,Clothing,Stole,UPI
B-25809,53,24,1,Clothing,Hankerchief,Debit Card
B-25688,352,-345,5,Clothing,Saree,Credit Card
B-25753,341,-85,6,Clothing,Trousers,Credit Card
B-25773,224,-143,3,Furniture,Chairs,COD
B-25661,55,-33,2,Furniture,Chairs,Debit Card
B-25857,324,39,8,Electronics,Accessories,Credit Card
B-25999,223,62,7,Clothing,Shirt,COD
B-25926,57,6,5,Clothing,Leggings,Debit Card
B-26076,219,4,2,Clothing,Saree,COD
B-25913,103,21,7,Clothing,Stole,UPI
B-26020,319,102,6,Electronics,Accessories,Credit Card
B-26083,43,8,3,Clothing,Leggings,COD
B-25625,59,-30,3,Clothing,Leggings,Debit Card
B-26010,55,3,3,Clothing,T-shirt,COD
B-25979,284,45,2,Furniture,Bookcases,EMI
B-26002,276,52,5,Clothing,Saree,EMI
B-26084,209,-63,4,Electronics,Electronic Games,COD
B-25998,50,-28,5,Furniture,Furnishings,COD
B-25872,57,27,2,Clothing,Shirt,COD
B-25795,276,-21,2,Electronics,Phones,EMI
B-25902,268,6,2,Furniture,Bookcases,UPI
B-25793,60,-12,4,Clothing,Hankerchief,Debit Card
B-25652,206,-206,3,Clothing,Saree,COD
B-26018,61,8,4,Clothing,Hankerchief,Debit Card
B-25823,59,6,1,Electronics,Accessories,UPI
B-25994,196,-7,5,Electronics,Phones,COD
B-25863,189,87,7,Clothing,Stole,COD
B-25680,73,-25,3,Clothing,Saree,COD
B-25737,187,-15,3,Clothing,Trousers,COD
B-25875,248,8,2,Clothing,Saree,Credit Card
B-26031,67,9,4,Clothing,Leggings,Debit Card
B-25908,179,-25,5,Clothing,Kurti,COD
B-26041,176,-28,5,Furniture,Furnishings,COD
B-25794,176,37,6,Electronics,Accessories,COD
B-25615,68,20,5,Clothing,Hankerchief,Debit Card
B-25997,231,99,2,Electronics,Electronic Games,Credit Card
B-25990,71,32,3,Clothing,Saree,Debit Card
B-26091,29,10,4,Clothing,Hankerchief,UPI
B-25604,65,17,2,Clothing,T-shirt,UPI
B-25724,168,-51,2,Furniture,Bookcases,COD
B-25748,47,-21,2,Electronics,Electronic Games,COD
B-26004,162,73,2,Electronics,Electronic Games,COD
B-25954,27,0,2,Clothing,Leggings,COD
B-26043,79,5,6,Clothing,Hankerchief,Debit Card
B-25838,161,40,3,Clothing,Stole,COD
B-26042,36,15,3,Clothing,Stole,UPI
B-26008,206,51,4,Clothing,Hankerchief,Credit Card
B-25927,200,7,4,Electronics,Electronic Games,Credit Card
B-25948,152,23,3,Furniture,Furnishings,COD
B-26094,152,50,6,Clothing,Stole,COD
B-25623,149,-87,4,Clothing,Saree,COD
B-25800,45,12,7,Clothing,Hankerchief,UPI
B-26039,83,34,5,Clothing,Shirt,Debit Card
B-25620,193,46,1,Electronics,Printers,Credit Card
B-25721,149,-40,2,Electronics,Phones,COD
B-25764,26,0,2,Clothing,Kurti,COD
B-26066,86,22,2,Clothing,Saree,Debit Card
B-25712,193,-275,3,Electronics,Phones,Credit Card
B-25738,70,-14,2,Furniture,Furnishings,UPI
B-25771,148,59,3,Clothing,Hankerchief,COD
B-25601,80,-56,4,Electronics,Electronic Games,UPI
B-25844,86,8,2,Clothing,Saree,Debit Card
B-26065,146,19,5,Clothing,Stole,COD
B-25825,140,6,5,Clothing,Saree,COD
B-25765,139,14,3,Clothing,Stole,COD
B-25709,33,-12,7,Clothing,Saree,UPI
B-25684,134,42,2,Furniture,Chairs,COD
B-25739,133,-56,2,Furniture,Chairs,COD
B-26082,95,5,2,Clothing,Stole,UPI
B-25731,131,-154,8,Furniture,Furnishings,COD
B-25719,29,10,2,Clothing,Stole,COD
B-25646,299,-8,2,Clothing,Saree,COD
B-25874,124,54,5,Clothing,T-shirt,COD
B-25638,182,-11,3,Furniture,Bookcases,Credit Card
B-25882,121,19,4,Clothing,Stole,COD
B-26040,38,9,2,Clothing,Stole,COD
B-26037,171,68,7,Clothing,Stole,EMI
B-25920,100,7,2,Clothing,T-shirt,UPI
B-25960,171,-140,2,Furniture,Bookcases,EMI
B-25917,100,12,2,Clothing,T-shirt,UPI
B-25972,115,47,2,Electronics,Accessories,COD
B-25736,31,-7,5,Clothing,Skirt,UPI
B-25742,11,-8,2,Clothing,Skirt,UPI
B-25641,22,-6,1,Furniture,Furnishings,COD
B-25958,105,25,2,Clothing,Hankerchief,EMI
B-25802,25,-7,5,Clothing,Saree,UPI
B-25834,16,5,1,Clothing,Stole,UPI
B-25774,38,-6,2,Furniture,Furnishings,UPI
B-25904,83,12,2,Furniture,Chairs,COD
B-25934,105,33,6,Clothing,Saree,EMI
B-25912,102,11,6,Clothing,T-shirt,COD
B-25647,42,-6,4,Clothing,Saree,UPI
B-25901,159,2,3,Furniture,Furnishings,EMI
B-25804,156,36,5,Clothing,T-shirt,EMI
B-25734,108,-19,3,Electronics,Electronic Games,UPI
B-25711,100,-58,4,Clothing,Hankerchief,COD
B-25864,100,6,4,Clothing,Stole,COD
B-25949,151,9,3,Clothing,Hankerchief,EMI
B-25805,112,15,2,Furniture,Chairs,COD
B-25919,110,12,7,Clothing,Stole,Debit Card
B-25889,114,11,4,Clothing,T-shirt,Debit Card
B-25637,117,14,3,Clothing,Shirt,UPI
B-25783,33,-10,6,Clothing,Leggings,UPI
B-25938,61,1,2,Furniture,Furnishings,COD
B-25820,119,1,1,Furniture,Chairs,COD
B-25924,148,54,2,Furniture,Chairs,UPI
B-25814,118,35,7,Clothing,T-shirt,EMI
B-25631,89,-89,2,Furniture,Furnishings,COD
B-25956,89,-37,4,Clothing,Shirt,COD
B-25862,121,41,4,Clothing,Stole,EMI
B-25606,87,4,2,Clothing,Shirt,COD
B-25928,122,15,3,Electronics,Accessories,EMI
B-26005,87,10,3,Clothing,Stole,COD
B-25963,53,8,3,Furniture,Furnishings,UPI
B-25683,86,-55,6,Clothing,Saree,COD
B-25914,125,22,3,Clothing,Stole,EMI
B-25869,86,9,3,Clothing,Saree,COD
B-25921,84,-42,2,Electronics,Accessories,COD
B-25849,336,123,3,Electronics,Phones,UPI
B-25780,137,-41,3,Electronics,Phones,Debit Card
B-25892,139,30,3,Clothing,Shirt,UPI
B-25988,79,-124,9,Clothing,Skirt,COD
B-25939,136,41,3,Electronics,Accessories,UPI
B-25906,78,27,3,Clothing,Stole,COD
B-26017,78,7,1,Furniture,Chairs,COD
B-25644,76,-92,8,Furniture,Furnishings,COD
B-25679,76,-50,1,Clothing,Saree,COD
B-25792,74,-25,3,Clothing,Stole,COD
B-25946,146,7,2,Electronics,Phones,Debit Card
B-25992,141,41,3,Clothing,Shirt,UPI
B-25659,148,72,7,Clothing,T-shirt,Debit Card
B-25716,58,0,4,Clothing,Saree,UPI
B-25725,144,-7,4,Electronics,Electronic Games,COD
B-25932,71,-14,4,Furniture,Furnishings,COD
B-25789,67,-86,9,Furniture,Furnishings,COD
B-25732,16,-5,2,Clothing,Stole,UPI
B-25871,118,25,4,Clothing,Hankerchief,Credit Card
B-25611,160,-59,2,Clothing,Saree,EMI
B-25833,64,27,5,Clothing,Hankerchief,UPI
B-25665,166,-113,4,Electronics,Accessories,EMI
B-25694,167,43,7,Clothing,T-shirt,EMI
B-25668,123,17,3,Furniture,Furnishings,COD
B-26024,168,18,6,Clothing,Stole,Debit Card
B-25827,156,21,3,Furniture,Chairs,COD
B-25713,158,-63,4,Furniture,Chairs,UPI
B-25944,169,38,3,Clothing,Saree,Debit Card
B-25695,171,14,9,Clothing,Shirt,Debit Card
B-25880,108,37,2,Clothing,Stole,Credit Card
B-25941,177,41,4,Clothing,Shirt,Debit Card
B-25706,31,-11,4,Clothing,Stole,COD
B-25969,171,17,6,Clothing,T-shirt,UPI
B-25763,58,-52,3,Furniture,Chairs,COD
B-25740,58,-8,2,Clothing,Saree,COD
B-25879,57,-28,2,Clothing,Kurti,COD
B-25614,98,-12,2,Electronics,Electronic Games,Credit Card
B-26092,97,14,2,Clothing,T-shirt,Credit Card
B-26011,93,44,2,Clothing,Stole,Credit Card
B-26074,57,21,4,Clothing,Leggings,COD
B-25976,193,8,4,Clothing,T-shirt,UPI
B-25865,85,-1,3,Clothing,Saree,Credit Card
B-26049,100,28,2,Clothing,Hankerchief,UPI
B-26047,55,12,5,Clothing,Skirt,COD
B-25766,220,-19,2,Clothing,Saree,Debit Card
B-25947,290,35,6,Clothing,Hankerchief,COD
B-26069,55,18,2,Clothing,Kurti,COD
B-25627,55,-39,4,Clothing,Stole,COD
B-26027,54,8,4,Clothing,T-shirt,COD
B-26068,193,33,5,Electronics,Accessories,COD
B-26080,109,35,6,Clothing,T-shirt,COD
B-26012,199,8,2,Clothing,Saree,COD
B-25824,101,38,2,Furniture,Furnishings,COD
B-25922,52,18,2,Clothing,Stole,COD
B-26099,207,37,4,Clothing,Hankerchief,COD
B-25866,51,14,2,Clothing,Stole,COD
B-25775,50,-17,2,Clothing,Stole,COD
B-25685,264,-30,3,Furniture,Furnishings,Debit Card
B-26090,80,22,3,Clothing,Stole,EMI
B-26072,313,44,3,Electronics,Electronic Games,COD
B-25916,80,-26,9,Clothing,Skirt,EMI
B-25722,48,-8,8,Clothing,Stole,COD
B-25746,87,16,2,Clothing,Saree,UPI
B-25812,259,47,5,Clothing,Hankerchief,UPI
B-25605,75,0,7,Clothing,Saree,EMI
B-25702,75,0,3,Clothing,Shirt,EMI
B-25626,46,-14,1,Electronics,Phones,COD
B-25811,126,52,4,Clothing,Hankerchief,UPI
B-25876,282,14,4,Clothing,Trousers,Debit Card
B-25931,73,-36,3,Furniture,Chairs,UPI
B-25663,294,138,2,Electronics,Printers,Debit Card
B-25677,20,-2,1,Electronics,Accessories,UPI
B-25617,305,-270,5,Electronics,Electronic Games,Debit Card
B-26036,341,44,7,Furniture,Furnishings,UPI
B-25978,341,160,7,Clothing,Stole,Debit Card
B-26077,62,11,7,Clothing,Hankerchief,UPI
B-25790,42,-3,1,Electronics,Electronic Games,COD
B-25829,345,38,7,Clothing,Hankerchief,Debit Card
B-25705,46,0,2,Electronics,Electronic Games,COD
B-25936,61,25,4,Clothing,Saree,UPI
B-25782,335,-22,7,Furniture,Chairs,UPI
B-25769,355,-4,2,Clothing,Saree,Debit Card
B-25718,371,115,1,Furniture,Bookcases,Debit Card
B-25715,416,137,3,Electronics,Phones,Debit Card
B-26075,34,12,2,Clothing,Stole,COD
B-25634,389,-83,3,Furniture,Chairs,UPI
B-26015,128,55,1,Clothing,Saree,COD
B-25822,34,13,2,Clothing,Saree,COD
B-26034,425,183,5,Electronics,Accessories,UPI
B-25692,141,28,7,Furniture,Furnishings,UPI
B-26046,32,3,8,Clothing,Hankerchief,COD
B-25622,534,0,3,Clothing,Saree,Debit Card
B-25690,31,-10,3,Clothing,Skirt,COD
B-25726,490,-128,8,Furniture,Bookcases,UPI
B-25907,30,11,5,Clothing,Hankerchief,COD
B-26013,29,-10,3,Clothing,Skirt,COD
B-25975,29,2,3,Clothing,Skirt,COD
B-25815,35,14,2,Clothing,Stole,Credit Card
B-25619,353,90,8,Clothing,Saree,COD
B-26058,212,97,7,Clothing,Hankerchief,COD
B-26044,28,-10,3,Clothing,Skirt,COD
B-25636,637,113,5,Clothing,Saree,UPI
B-25649,27,-25,2,Clothing,Stole,COD
B-25806,632,-114,4,Furniture,Tables,UPI
B-25826,637,261,2,Electronics,Printers,COD
B-25624,26,12,3,Clothing,Hankerchief,COD
B-25974,662,240,2,Furniture,Bookcases,COD
B-25884,24,2,4,Clothing,Hankerchief,COD
B-25672,27,-15,1,Clothing,Stole,UPI
B-25859,724,253,2,Furniture,Bookcases,UPI
B-25817,743,89,5,Electronics,Printers,UPI
B-25968,811,154,7,Electronics,Accessories,UPI
B-25671,832,0,3,Clothing,Trousers,UPI
B-26059,20,6,1,Clothing,T-shirt,COD
B-25669,610,-66,2,Furniture,Tables,COD
B-25841,22,11,2,Clothing,Skirt,Credit Card
B-26071,21,4,3,Clothing,Hankerchief,Credit Card
B-25813,911,202,7,Furniture,Chairs,COD
B-25890,465,207,9,Clothing,Saree,COD
B-25807,16,6,1,Clothing,Stole,COD
B-25937,1101,352,3,Furniture,Bookcases,UPI
B-25982,13,3,1,Clothing,Leggings,COD
B-25639,1629,-153,3,Electronics,Phones,COD
B-25894,1246,62,3,Furniture,Bookcases,EMI
B-25768,1582,-443,6,Clothing,Trousers,EMI
B-25629,1560,421,3,Clothing,Trousers,COD
B-25758,8,-2,1,Clothing,Stole,COD
B-25707,8,-6,1,Clothing,Stole,COD
